YEAR,STATE,ANSI,1000ACRES_PLANTED,1000ACRES_HARVESTED
2018,TEXAS,48,"21,833","14,922"
2018,UTAH,49,871,836
2018,VERMONT,50,255,249
2018,VIRGINIA,51,"2,634","2,502"
2018,WASHINGTON,53,"3,697","3,607"
2018,WEST VIRGINIA,54,617,609
2018,WISCONSIN,55,"8,014","7,747"
2018,WYOMING,56,"1,474","1,417"
2017,ALABAMA,1,"2,280","2,180"
2017,ALASKA,2,,
2017,ARIZONA,4,700,685
2017,ARKANSAS,5,"7,299","7,102"
2017,CALIFORNIA,6,"3,096","2,701"
2017,COLORADO,8,"6,245","5,874"
2017,CONNECTICUT,9,72,68
2017,DELAWARE,10,462,429
2017,FLORIDA,12,"1,146","1,120"
2017,GEORGIA,13,"3,634","3,288"
2017,HAWAII,15,,
2017,IDAHO,16,"4,205","4,070"
2017,ILLINOIS,17,"22,851","22,694"
2017,INDIANA,18,"12,130","12,030"
2017,IOWA,19,"24,491","24,280"
2017,KANSAS,20,"23,633","22,743"
2017,KENTUCKY,21,"5,956","5,761"
2017,LOUISIANA,22,"3,275","3,230"
2017,MAINE,23,226,221
2017,MARYLAND,24,"1,633","1,370"
2017,MASSACHUSETTS,25,93,90
2017,MICHIGAN,26,"6,349","6,246"
2017,MINNESOTA,27,"19,691","19,426"
2017,MISSISSIPPI,28,"4,159","4,099"
2017,MISSOURI,29,"13,533","13,277"
2017,MONTANA,30,"9,079","8,294"
2017,NEBRASKA,31,"19,566","19,244"
2017,NEVADA,32,426,409
2017,NEW HAMPSHIRE,33,59,58
2017,NEW JERSEY,34,310,302
2017,NEW MEXICO,35,906,669
2017,NEW YORK,36,"2,800","2,739"
2017,NORTH CAROLINA,37,"4,428","4,296"
2017,NORTH DAKOTA,38,"23,617","22,714"
2017,OHIO,39,"10,010","9,890"
2017,OKLAHOMA,40,"9,827","7,879"
2017,OREGON,41,"2,080","2,042"
2017,PENNSYLVANIA,42,"3,728","3,608"
2017,RHODE ISLAND,44,8,8
2017,SOUTH CAROLINA,45,"1,544","1,492"
2017,SOUTH DAKOTA,46,"17,422","16,228"
2017,TENNESSEE,47,"4,841","4,701"
2017,TEXAS,48,"21,580","17,079"
2017,UTAH,49,944,919
2017,VERMONT,50,267,261
2017,VIRGINIA,51,"2,674","2,554"
2017,WASHINGTON,53,"3,634","3,554"
2017,WEST VIRGINIA,54,652,646
2017,WISCONSIN,55,"7,781","7,545"
2017,WYOMING,56,"1,510","1,437"
2016,ALABAMA,1,"2,360","2,248"
2016,ARIZONA,4,672,658
2016,ARKANSAS,5,"7,297","7,138"
2016,CALIFORNIA,6,"3,208","2,806"
2016,COLORADO,8,"6,170","5,881"
2016,CONNECTICUT,9,70,66
2016,DELAWARE,10,457,439
2016,FLORIDA,12,"1,148","1,121"
2016,GEORGIA,13,"3,629","3,286"
2016,HAWAII,15,15,15
2016,IDAHO,16,"4,163","4,027"
2016,ILLINOIS,17,"22,770","22,574"
2016,INDIANA,18,"12,080","11,990"
2016,IOWA,19,"24,455","24,250"
2016,KANSAS,20,"23,594","23,071"
2016,KENTUCKY,21,"6,125","5,985"
2016,LOUISIANA,22,"3,315","3,184"
2016,MAINE,23,243,239
2016,MARYLAND,24,"1,605","1,474"
2016,MASSACHUSETTS,25,108,106
2016,MICHIGAN,26,"6,423","6,313"
2016,MINNESOTA,27,"19,887","19,585"
2016,MISSISSIPPI,28,"4,177","4,114"
2016,MISSOURI,29,"13,404","13,107"
2016,MONTANA,30,"9,217","8,809"
2016,NEBRASKA,31,"19,544","19,223"
2016,NEVADA,32,356,346
2016,NEW HAMPSHIRE,33,68,67
2016,NEW JERSEY,34,319,309
2016,NEW MEXICO,35,908,756
2016,NEW YORK,36,"3,015","2,950"
2016,NORTH CAROLINA,37,"4,438","4,271"
2016,NORTH DAKOTA,38,"23,686","23,022"
2016,OHIO,39,"10,000","9,905"
2016,OKLAHOMA,40,"10,018","8,196"
2016,OREGON,41,"2,149","2,101"
2016,PENNSYLVANIA,42,"3,668","3,561"
2016,RHODE ISLAND,44,9,9
2016,SOUTH CAROLINA,45,"1,505","1,448"
2016,SOUTH DAKOTA,46,"17,341","16,887"
2016,TENNESSEE,47,"5,030","4,920"
2016,TEXAS,48,"21,564","18,204"
2016,UTAH,49,938,917
2016,VERMONT,50,280,275
2016,VIRGINIA,51,"2,680","2,593"
2016,WASHINGTON,53,"3,718","3,645"
2016,WEST VIRGINIA,54,670,665
2016,WISCONSIN,55,"7,885","7,705"
2016,WYOMING,56,"1,441","1,390"
2015,ALABAMA,1,"2,320","2,275"
2015,ARIZONA,4,731,692
2015,ARKANSAS,5,"7,117","7,337"
2015,CALIFORNIA,6,"3,083","2,918"
2015,COLORADO,8,"6,036","5,597"
2015,CONNECTICUT,9,79,75
2015,DELAWARE,10,461,476
2015,FLORIDA,12,"1,146","1,146"
2015,GEORGIA,13,"3,694","3,496"
2015,HAWAII,15,15,16
2015,IDAHO,16,"4,160","4,113"
2015,ILLINOIS,17,"22,616","22,843"
2015,INDIANA,18,"12,065","12,255"
2015,IOWA,19,"24,655","24,605"
2015,KANSAS,20,"23,320","21,904"
2015,KENTUCKY,21,"6,243","6,122"
2015,LOUISIANA,22,"3,392","3,545"
2015,MAINE,23,260,271
2015,MARYLAND,24,"1,582","1,487"
2015,MASSACHUSETTS,25,112,92
2015,MICHIGAN,26,"6,419","6,487"
2015,MINNESOTA,27,"20,015","19,324"
2015,MISSISSIPPI,28,"4,274","4,248"
2015,MISSOURI,29,"12,081","13,832"
2015,MONTANA,30,"9,451","9,446"
2015,NEBRASKA,31,"19,652","19,146"
2015,NEVADA,32,334,443
2015,NEW HAMPSHIRE,33,63,68
2015,NEW JERSEY,34,314,320
2015,NEW MEXICO,35,975,677
2015,NEW YORK,36,"2,839","2,994"
2015,NORTH CAROLINA,37,"4,753","4,952"
2015,NORTH DAKOTA,38,"23,710","22,205"
2015,OHIO,39,"9,973","9,894"
2015,OKLAHOMA,40,"10,126","7,834"
2015,OREGON,41,"2,104","2,048"
2015,PENNSYLVANIA,42,"3,568","3,679"
2015,RHODE ISLAND,44,9,10
2015,SOUTH CAROLINA,45,"1,624","1,633"
2015,SOUTH DAKOTA,46,"18,100","17,335"
2015,TENNESSEE,47,"4,926","5,045"
2015,TEXAS,48,"21,701","17,476"
2015,UTAH,49,917,893
2015,VERMONT,50,237,270
2015,VIRGINIA,51,"2,705","2,715"
2015,WASHINGTON,53,"3,660","3,784"
2015,WEST VIRGINIA,54,676,701
2015,WISCONSIN,55,"7,999","7,868"
2015,WYOMING,56,"1,496","1,415"
2014,ALABAMA,1,"2,360","2,275"
2014,ARIZONA,4,701,692
2014,ARKANSAS,5,"7,463","7,337"
2014,CALIFORNIA,6,"3,405","2,918"
2014,COLORADO,8,"6,188","5,597"
2014,CONNECTICUT,9,79,75
2014,DELAWARE,10,495,476
2014,FLORIDA,12,"1,170","1,146"
2014,GEORGIA,13,"3,795","3,496"
2014,HAWAII,15,16,16
2014,IDAHO,16,"4,302","4,113"
2014,ILLINOIS,17,"23,025","22,843"
2014,INDIANA,18,"12,360","12,255"
2014,IOWA,19,"24,876","24,605"
2014,KANSAS,20,"23,007","21,904"
2014,KENTUCKY,21,"6,267","6,122"
2014,LOUISIANA,22,"3,587","3,545"
2014,MAINE,23,277,271
2014,MARYLAND,24,"1,617","1,487"
2014,MASSACHUSETTS,25,95,92
2014,MICHIGAN,26,"6,618","6,487"
2014,MINNESOTA,27,"19,741","19,324"
2014,MISSISSIPPI,28,"4,308","4,248"
2014,MISSOURI,29,"14,094","13,832"
2014,MONTANA,30,"9,967","9,446"
2014,NEBRASKA,31,"19,544","19,146"
2014,NEVADA,32,455,443
2014,NEW HAMPSHIRE,33,69,68
2014,NEW JERSEY,34,331,320
2014,NEW MEXICO,35,983,677
2014,NEW YORK,36,"3,051","2,994"
2014,NORTH CAROLINA,37,"5,070","4,952"
2014,NORTH DAKOTA,38,"23,004","22,205"
2014,OHIO,39,"10,034","9,894"
2014,OKLAHOMA,40,"10,781","7,834"
2014,OREGON,41,"2,086","2,048"
2014,PENNSYLVANIA,42,"3,789","3,679"
2014,RHODE ISLAND,44,10,10
2014,SOUTH CAROLINA,45,"1,674","1,633"
2014,SOUTH DAKOTA,46,"17,816","17,335"
2014,TENNESSEE,47,"5,155","5,045"
2014,TEXAS,48,"23,473","17,476"
2014,UTAH,49,937,893
2014,VERMONT,50,277,270
2014,VIRGINIA,51,"2,816","2,715"
2014,WASHINGTON,53,"3,889","3,784"
2014,WEST VIRGINIA,54,706,701
2014,WISCONSIN,55,"8,089","7,868"
2014,WYOMING,56,"1,478","1,415"
2013,Alabama,1,2410,2309
2013,Arizona,4,745,733
2013,Arkansas,5,7682,7560
2013,California,6,4009,3508
2013,Colorado,8,5916,4890
2013,Connecticut,9,74,70
2013,Delaware,10,492,472
2013,Florida,12,1187,1163
2013,Georgia,13,3848,3557
2013,Hawaii,15,18,18
2013,Idaho,16,4502,4338
2013,Illinois,17,23055,22854
2013,Indiana,18,12330,12270
2013,Iowa,19,24320,23981
2013,Kansas,20,23474,21881
2013,Kentucky,21,6567,6447
2013,Louisiana,22,3563,3525
2013,Maine,23,269,260
2013,Maryland,24,1607,1489
2013,Massachusetts,25,104,101
2013,Michigan,26,6504,6433
2013,Minnesota,27,19454,19066
2013,Mississippi,28,4504,4441
2013,Missouri,29,14624,14373
2013,Montana,30,9566,9135
2013,Nebraska,31,19553,18756
2013,Nevada,32,380,365
2013,New Hampshire,33,64,63
2013,New Jersey,34,312,304
2013,New Mexico,35,975,555
2013,New York,36,3148,3093
2013,North Carolina,37,5035,4876
2013,North Dakota,38,20387,19995
2013,Ohio,39,10164,10083
2013,Oklahoma,40,10497,7874
2013,Oregon,41,2144,2099
2013,Pennsylvania,42,3651,3551
2013,Rhode Island,44,11,11
2013,South Carolina,45,1604,1556
2013,South Dakota,46,17855,16874
2013,Tennessee,47,5246,5099
2013,Texas,48,24019,16292
2013,Utah,49,1026,964
2013,Vermont,50,272,265
2013,Virginia,51,2869,2754
2013,Washington,53,3667,3605
2013,West Virginia,54,674,670
2013,Wisconsin,55,7951,7633
2013,Wyoming,56,1420,1350
2012,Alabama,1,2390,2298
2012,Arizona,4,785,776
2012,Arkansas,5,7948,7771
2012,California,6,4361,3797
2012,Colorado,8,6039,5367
